"Microsoft","Windows","CVE-2009-2526","2017-06-20T00:00:00Z"
"Microsoft","Windows","CVE-2009-2532","2017-06-20T00:00:00Z"
"Linux","Kernel","CVE-2009-2692","2026-02-09T00:00:00Z"
"Linux","Kernel","CVE-2009-2698","2026-02-09T00:00:00Z"
"dd-wrt","dd-wrt","CVE-2009-2765","2019-06-13T00:00:00Z"
"Linux","Kernel","CVE-2009-2908","2026-02-09T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2009-2990","2010-01-20T00:00:00Z"
"Microsoft","Internet Information Services (IIS)","CVE-2009-3023","2009-10-19T00:00:00Z"
"spip","spip","CVE-2009-3041","2009-08-06T00:00:00Z"
"Microsoft","Windows","CVE-2009-3103","2017-06-20T00:00:00Z"
"Microsoft","Windows","CVE-2009-3126","2012-10-18T00:00:00Z"
"Microsoft","Excel","CVE-2009-3129","2012-01-01T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2009-3459","2009-10-13T00:00:00Z"
"Linux","Kernel","CVE-2009-3547","2026-02-09T00:00:00Z"
"Apache","HTTP Server","CVE-2009-3555","2009-11-18T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2009-3674","2016-09-29T00:00:00Z"
"VMware","ESXi","CVE-2009-3733","2025-02-27T00:00:00Z"
"sun","jdk","CVE-2009-3867","2010-05-01T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2009-3953","2016-09-29T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2009-3957","2013-03-21T00:00:00Z"
"Adobe","BlazeDS","CVE-2009-3960","2021-09-21T00:00:00Z"
"teethgrinder.co.uk","open_flash_chart","CVE-2009-4140","2014-05-06T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2009-4324","2009-12-15T00:00:00Z"
"acme","mini_httpd","CVE-2009-4490","2021-06-24T00:00:00Z"
"xpressengine","zeroboard","CVE-2009-4834","2012-04-12T00:00:00Z"
"creloaded","cre_loaded","CVE-2009-5076","2011-06-08T00:00:00Z"
"veracomp","asmax_ar-804gu_firmware","CVE-2009-5156","2019-06-13T00:00:00Z"
"linksys","wag54g2_firmware","CVE-2009-5157","2019-06-13T00:00:00Z"
"Microsoft","Windows","CVE-2010-0028","2012-10-18T00:00:00Z"
"sun","jre","CVE-2010-0094","2010-10-12T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2010-0188","2010-05-01T00:00:00Z"
"Apache","axis2","CVE-2010-0219","2023-11-15T00:00:00Z"
"Microsoft","Windows","CVE-2010-0232","2016-08-04T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2010-0249","2010-01-15T00:00:00Z"
"Microsoft","Windows","CVE-2010-0480","2012-10-18T00:00:00Z"
"Red Hat","JBoss","CVE-2010-0738","2015-08-05T00:00:00Z"
"greatjoomla","scriptegrator_plugin","CVE-2010-0759","2026-02-02T00:00:00Z"
"Microsoft","Internet Explorer","CVE-2010-0806","2010-03-10T00:00:00Z"
"Microsoft","SharePoint","CVE-2010-0817","2010-06-08T00:00:00Z"
"Oracle","Java Runtime Environment (JRE)","CVE-2010-0840","2011-07-26T00:00:00Z"
"sun","jre","CVE-2010-0842","2011-05-24T00:00:00Z"
"sun","jre","CVE-2010-0886","2010-06-03T00:00:00Z"
"Atlassian","Jira Server and Data Center","CVE-2010-1164","2010-04-20T00:00:00Z"
"Atlassian","Jira Server and Data Center","CVE-2010-1165","2010-04-20T00:00:00Z"
"Linux","Kernel","CVE-2010-1173","2026-02-09T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2010-1240","2016-05-16T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2010-1241","2012-10-18T00:00:00Z"
"Adobe","Flash Player","CVE-2010-1297","2010-06-08T00:00:00Z"
"justsystems","ichitaro","CVE-2010-1424","2020-05-01T00:00:00Z"
"Red Hat","JBoss","CVE-2010-1428","2016-03-25T00:00:00Z"
"linksys","wap54g_firmware","CVE-2010-1573","2023-07-05T00:00:00Z"
"sisoftware","sandra","CVE-2010-1592","2018-03-06T00:00:00Z"
"Apple","iphone_os","CVE-2010-1797","2010-08-05T00:00:00Z"
"Apple","safari","CVE-2010-1807","2023-12-07T00:00:00Z"
"Red Hat","JBoss Seam 2","CVE-2010-1871","2011-07-30T00:00:00Z"
"Microsoft","Windows","CVE-2010-1885","2011-07-26T00:00:00Z"
"proftpd","proftpd","CVE-2010-20103","2025-08-20T00:00:00Z"
"percha","com_perchagallery","CVE-2010-2035","2025-12-26T00:00:00Z"
"e107","e107","CVE-2010-2099","2010-08-19T00:00:00Z"
"justsystems","ichitaro","CVE-2010-2152","2020-05-01T00:00:00Z"
"linksys","wap54gv3","CVE-2010-2261","2023-02-08T00:00:00Z"
"Red Hat","jboss_enterprise_soa_platform","CVE-2010-2493","2016-03-25T00:00:00Z"
"Cisco","linksys_firmware","CVE-2010-2506","2024-05-22T00:00:00Z"
"Microsoft","Windows","CVE-2010-2568","2010-10-01T00:00:00Z"
"Microsoft","PowerPoint","CVE-2010-2572","2016-01-24T00:00:00Z"
"Microsoft","Windows","CVE-2010-2729","2010-09-15T00:00:00Z"
"Microsoft","Windows","CVE-2010-2743","2021-12-15T00:00:00Z"
"Siemens","simatic_wincc","CVE-2010-2772","2010-10-01T00:00:00Z"
"Adobe","ColdFusion","CVE-2010-2861","2021-09-21T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2010-2862","2012-10-18T00:00:00Z"
"Adobe","Acrobat and Reader","CVE-2010-2883","2010-09-09T00:00:00Z"
"Adobe","Flash Player","CVE-2010-2884","2010-09-15T00:00:00Z"
"Linux","Kernel","CVE-2010-2959","2026-02-09T00:00:00Z"
"Cisco","IOS XR","CVE-2010-3035","2022-03-25T00:00:00Z"
"Linux","Kernel","CVE-2010-3081","2010-09-15T00:00:00Z"
"egroupware","egroupware","CVE-2010-3313","2020-12-14T00:00:00Z"
"Microsoft",".NET Framework","CVE-2010-3332","2011-10-26T00:00:00Z"
"Microsoft","Office","CVE-2010-3333","2012-01-01T00:00:00Z"
